Rk,Player,Age,Tm,GP,GS,W,L,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,Jake Allen\allenja01,24,STL,6,6,2,4,12,125,113,.904,2.20,0,,328,3,.500,2,122,-2.17,0,0,0,0
2,Frederik Andersen\anderfr01,25,ANA,16,16,11,5,41,472,431,.913,2.34,1,,1050,10,.625,3,110,-3.87,0,0,0,0
3,Craig Anderson\andercr01,33,OTT,4,4,2,2,4,142,138,.972,0.97,1,,247,4,1.000,0,36,7.17,0,0,0,0
4,Ben Bishop\bishobe01,28,TBL,25,25,13,11,53,669,616,.921,2.18,3,,1459,17,.680,5,101,-0.37,0,3,3,4
5,Corey Crawford\crawfco01,30,CHI,20,19,13,6,47,616,569,.924,2.31,2,,1223,12,.632,4,97,1.46,0,0,0,0
6,Scott Darling\darlisc01,26,CHI,5,4,3,1,11,171,160,.936,2.28,0,,290,2,.500,1,82,2.45,0,0,0,0
7,Devan Dubnyk\dubnyde01,28,MIN,10,10,4,6,24,260,236,.908,2.52,1,,570,4,.400,1,117,-3.55,0,1,1,0
8,Brian Elliott\elliobr01,29,STL,1,0,0,0,1,7,6,.857,2.29,0,,26,0,,0,,,0,0,0,0
9,Marc-Andre Fleury\fleurma01,30,PIT,5,5,1,4,11,150,139,.927,2.12,0,,312,4,.800,0,93,0.80,0,0,0,0
10,Philipp Grubauer\grubaph01,23,WSH,1,1,1,0,3,21,18,.857,3.00,0,,60,0,.000,0,,,0,0,0,0
11,Jaroslav Halak\halakja01,29,NYI,7,7,3,4,16,215,199,.926,2.30,0,,418,5,.714,0,95,0.91,0,0,0,2
12,Andrew Hammond\hammoan01,26,OTT,2,2,0,2,7,81,74,.914,3.44,0,,122,1,.500,0,,,0,0,0,0
13,Jonas Hiller\hillejo01,32,CGY,7,7,3,3,14,173,159,.919,2.61,0,,322,4,.571,2,103,-0.39,0,0,0,0
14,Braden Holtby\holtbbr01,25,WSH,13,13,6,7,23,412,389,.944,1.71,1,,806,10,.769,0,71,9.41,0,1,1,0
15,Jimmy Howard\howarja02,30,DET,1,0,0,0,1,12,11,.917,3.00,0,,20,0,,0,,,0,0,0,0
16,Darcy Kuemper\kuempda01,24,MIN,1,0,0,0,0,9,9,1.000,0.00,0,,23,0,,0,,,0,0,0,0
17,Eddie Lack\lacked01,27,VAN,4,4,1,3,10,88,78,.886,3.03,0,,198,2,.500,1,,,0,0,0,0
18,Henrik Lundqvist\lundqhe01,32,NYR,19,19,11,8,41,570,529,.928,2.11,0,,1166,15,.789,2,91,3.84,0,0,0,0
19,Ryan Miller\millery01,34,VAN,3,2,1,1,6,67,61,.910,2.31,0,,156,1,.500,1,,,0,0,0,0
20,Petr Mrazek\mrazepe01,22,DET,7,7,3,4,14,186,172,.925,2.11,2,,398,4,.571,1,96,0.63,0,0,0,0
21,Michal Neuvirth\neuvimi01,26,NYI,1,0,0,0,0,6,6,1.000,0.00,0,,11,0,,0,,,0,0,0,0
22,Ondrej Pavelec\pavelon01,27,WPG,4,4,0,4,15,137,122,.891,3.74,0,,241,1,.250,1,139,-4.22,0,0,0,0
23,Carey Price\priceca01,27,MTL,12,12,6,6,28,352,324,.920,2.23,1,,752,8,.667,2,101,-0.31,0,0,0,2
24,Karri Ramo\ramoka01,28,CGY,7,4,2,3,16,171,155,.906,2.86,0,,336,2,.500,0,119,-2.55,0,0,0,0
25,Pekka Rinne\rinnepe01,32,NSH,6,6,2,4,19,208,189,.909,2.74,0,,416,3,.500,0,116,-2.64,0,1,1,0
26,Andrei Vasilevskiy\vasilan02,20,TBL,4,1,1,1,6,57,51,.895,3.19,0,,113,1,1.000,0,,,0,0,0,0
