Rk,Player,Age,Tm,GP,GS,W,L,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,Frederik Andersen\anderfr01,24,ANA,7,7,3,2,19,189,170,.899,3.10,0,,368,4,.571,2,114,-2.29,0,0,0,0
2,Sergei Bobrovsky\bobrose01,25,CBJ,6,6,2,4,20,218,198,.908,3.18,0,,378,2,.333,0,104,-0.73,0,0,0,0
3,Ilya Bryzgalov\bryzgil01,33,MIN,9,8,3,6,21,182,161,.885,2.63,1,,479,4,.500,3,131,-4.91,0,0,0,0
4,Peter Budaj\budajpe01,31,MTL,1,0,,,3,8,5,.625,9.00,0,,20,0,,0,,,0,0,0,0
5,Corey Crawford\crawfco01,29,CHI,19,19,11,8,52,590,538,.912,2.53,1,,1234,9,.474,4,100,0.15,0,0,0,0
6,Ray Emery\emeryra01,31,PHI,3,3,1,2,10,89,79,.888,3.49,0,,172,1,.333,1,,,0,0,0,0
7,Marc-Andre Fleury\fleurma01,29,PIT,13,13,7,6,32,378,346,.915,2.40,2,,800,4,.308,0,96,1.41,0,0,0,0
8,John Gibson\gibsojo02,20,ANA,4,4,2,2,9,111,102,.919,2.69,1,,200,2,.500,1,92,0.81,0,0,0,0
9,Kristers Gudlevskis\gudlekr01,21,TBL,2,0,0,1,2,20,18,.900,3.02,0,,40,0,,0,,,0,0,0,0
10,Jonas Gustavsson\gustajo01,29,DET,2,2,0,2,6,72,66,.917,2.72,0,,133,1,.500,0,,,0,0,0,0
11,Jonas Hiller\hillejo01,31,ANA,6,2,2,2,8,85,77,.906,2.19,0,,219,1,.500,0,,,0,0,0,0
12,Jimmy Howard\howarja02,29,DET,3,3,1,2,6,87,81,.931,2.02,1,,178,2,.667,0,,,0,0,0,0
13,Martin Jones\jonesma02,24,LAK,2,0,,,0,7,7,1.000,0.00,0,,56,0,,0,,,0,0,0,0
14,Darcy Kuemper\kuempda01,23,MIN,6,5,3,1,11,127,116,.913,2.03,1,,325,2,.400,1,98,0.23,0,0,0,0
15,Kari Lehtonen\lehtoka01,30,DAL,6,6,2,4,19,165,146,.885,3.30,1,,346,1,.167,3,130,-4.42,0,1,1,0
16,Anders Lindback\lindban01,25,TBL,4,4,0,3,14,118,104,.881,3.92,0,,215,0,.000,0,134,-3.57,0,0,0,0
17,Henrik Lundqvist\lundqhe01,31,NYR,25,25,13,11,54,737,683,.927,2.14,1,,1516,16,.640,3,83,11.15,0,1,1,0
18,Steve Mason\masonst01,25,PHI,5,4,2,2,8,131,123,.939,1.97,0,,244,3,.750,0,69,3.58,0,0,0,0
19,Ryan Miller\millery01,33,STL,6,6,2,4,19,185,166,.897,2.70,0,,422,2,.333,1,116,-2.65,0,0,0,0
20,Antti Niemi\niemian02,30,SJS,6,6,3,3,19,164,145,.884,3.74,0,,305,1,.167,2,131,-4.50,0,0,0,0
21,Carey Price\priceca01,26,MTL,12,12,8,4,29,358,329,.919,2.36,1,,739,7,.583,2,92,2.64,0,0,0,0
22,Jonathan Quick\quickjo01,28,LAK,26,26,16,10,69,774,705,.911,2.58,2,,1605,14,.538,5,101,-0.58,0,0,0,4
23,Tuukka Rask\rasktu01,26,BOS,12,12,7,5,25,348,323,.928,1.99,2,,753,7,.583,1,81,5.76,0,1,1,2
24,Alex Stalock\staloal01,26,SJS,3,1,0,1,4,56,52,.929,2.05,0,,117,0,.000,0,,,0,0,0,0
25,Cam Talbot\talboca01,26,NYR,2,0,0,1,2,13,11,.846,2.59,0,,46,0,,0,,,0,0,0,0
26,Tim Thomas\thomati01,39,DAL,1,0,,,1,2,1,.500,4.10,0,,15,0,,0,,,0,0,0,0
27,Dustin Tokarski\tokardu01,24,MTL,5,5,2,3,13,155,142,.916,2.60,0,,300,2,.400,0,95,0.70,0,0,0,0
28,Semyon Varlamov\varlasi01,25,COL,7,7,3,4,20,231,211,.913,2.77,0,,432,3,.429,0,98,0.42,0,0,0,0
