Rk,Player,Age,Tm,GP,GS,W,L,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,Jake Allen\allenja01,26,STL,11,11,6,5,22,336,314,.935,1.96,0,,675,8,.727,0,82,4.73,0,0,0,0
2,Frederik Andersen\anderfr01,27,TOR,6,6,2,4,18,211,193,.915,2.68,0,,403,4,.667,1,107,-1.21,0,0,0,0
3,Craig Anderson\andercr01,35,OTT,19,19,11,8,46,590,544,.922,2.34,1,,1178,12,.632,1,98,0.94,0,1,1,0
4,Jonathan Bernier\bernijo01,28,ANA,4,1,1,2,10,79,69,.873,3.29,0,,183,0,.000,1,,,0,0,0,0
5,Sergei Bobrovsky\bobrose01,28,CBJ,5,5,1,4,20,170,150,.882,3.88,0,,309,0,.000,1,148,-6.47,0,0,0,0
6,Laurent Brossoit\brossla01,23,EDM,1,0,0,0,2,8,6,.750,4.42,0,,27,0,,0,,,0,0,0,0
7,Mike Condon\condomi01,26,OTT,2,0,0,0,4,32,28,.875,3.92,0,,61,0,,0,,,0,0,0,0
8,Corey Crawford\crawfco01,32,CHI,4,4,0,4,12,123,111,.902,2.84,0,,254,2,.500,1,123,-2.21,0,0,0,0
9,Devan Dubnyk\dubnyde01,30,MIN,5,5,1,4,10,133,123,.925,1.86,1,,322,3,.600,0,94,0.58,0,0,0,0
10,Brian Elliott\elliobr01,31,CGY,4,4,0,3,12,100,88,.880,3.88,0,,185,1,.250,2,151,-4.04,0,0,0,0
11,Marc-Andre Fleury\fleurma01,32,PIT,15,15,9,6,37,490,453,.924,2.56,2,,867,9,.600,2,95,1.99,0,0,0,0
12,John Gibson\gibsojo02,23,ANA,16,16,9,5,38,466,428,.918,2.59,0,,879,9,.563,2,102,-0.92,0,0,0,0
13,Philipp Grubauer\grubaph01,25,WSH,1,0,0,0,2,9,7,.778,6.46,0,,19,0,,0,,,0,0,0,0
14,Braden Holtby\holtbbr01,27,WSH,13,13,7,6,33,364,331,.909,2.46,0,,803,7,.538,2,114,-4.04,0,0,0,2
15,Chad Johnson\johnsch02,30,CGY,1,0,0,1,1,21,20,.952,1.16,0,,52,0,,0,,,0,0,0,0
16,Martin Jones\jonesma02,27,SJS,6,6,2,4,11,168,157,.935,1.75,1,,377,6,1.000,0,82,2.37,0,0,0,0
17,Henrik Lundqvist\lundqhe01,34,NYR,12,12,6,6,29,395,366,.927,2.25,1,,775,8,.667,1,92,2.43,0,0,0,0
18,Matt Murray\murrama02,22,PIT,11,10,7,3,19,303,284,.937,1.70,3,,669,7,.700,1,79,5.11,0,0,0,0
19,Carey Price\priceca01,29,MTL,6,6,2,4,12,179,167,.933,1.86,0,,387,5,.833,0,84,2.24,0,0,0,0
20,Tuukka Rask\rasktu01,29,BOS,6,6,2,4,15,187,172,.920,2.24,0,,402,3,.500,0,101,-0.12,0,0,0,0
21,Pekka Rinne\rinnepe01,34,NSH,22,22,14,8,42,599,557,.930,1.96,2,,1289,16,.727,4,88,5.66,0,3,3,0
22,Juuse Saros\sarosju01,21,NSH,2,0,0,0,3,17,14,.824,3.18,0,,57,0,,0,,,0,0,0,0
23,Cam Talbot\talboca01,29,EDM,13,13,7,6,33,437,404,.924,2.48,2,,799,9,.692,2,95,1.77,0,1,1,0
