Rk,Player,Age,Tm,GP,GS,W,L,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,Jake Allen\allenja01,21,STL,1,0,0,0,0,0,0,,0.00,0,,1,0,,0,,,0,0,0,0
2,Craig Anderson\andercr01,30,OTT,7,7,3,4,14,208,194,.933,2.01,1,,419,5,.714,0,86,2.36,0,0,0,0
3,Sergei Bobrovsky\bobrose01,23,PHI,1,0,0,0,5,18,13,.722,8.13,0,,37,0,,0,,,0,0,0,0
4,Martin Brodeur*\brodema01,39,NJD,24,24,14,9,52,629,577,.917,2.12,1,,1471,14,.583,3,105,-2.54,0,4,4,0
5,Ilya Bryzgalov\bryzgil01,31,PHI,11,11,5,6,37,326,289,.887,3.46,0,,642,2,.182,2,144,-11.36,0,0,0,0
6,Scott Clemmensen\clemmsc01,34,FLA,3,2,1,2,7,88,81,.920,2.34,0,,179,1,.500,0,,,0,1,1,0
7,Corey Crawford\crawfco01,27,CHI,6,6,2,4,17,159,142,.893,2.58,0,,396,1,.167,2,136,-4.50,0,0,0,0
8,Brian Elliott\elliobr01,26,STL,8,7,3,4,18,187,169,.904,2.38,0,,455,4,.571,2,122,-3.29,0,0,0,2
9,Marc-Andre Fleury\fleurma01,27,PIT,6,6,2,4,26,157,131,.834,4.63,0,,337,1,.167,4,211,-13.65,0,1,1,0
10,Jaroslav Halak\halakja01,26,STL,2,2,1,1,3,46,43,.935,1.72,0,,104,1,.500,0,,,0,0,0,0
11,Johan Hedberg\hedbejo01,38,NJD,1,0,0,1,1,14,13,.929,1.65,0,,36,0,,0,,,0,0,0,0
12,Braden Holtby\holtbbr01,22,WSH,14,14,7,7,30,459,429,.935,1.95,0,,922,11,.786,1,83,6.10,0,0,0,2
13,Jimmy Howard\howarja02,27,DET,5,5,1,4,13,116,103,.888,2.64,0,,295,2,.400,1,143,-3.88,0,0,0,0
14,Brent Johnson\johnsbr02,34,PIT,1,0,0,0,2,6,4,.667,6.00,0,,20,0,,0,,,0,0,0,0
15,Henrik Lundqvist\lundqhe01,29,NYR,20,20,10,10,38,554,516,.931,1.82,3,,1251,11,.550,1,87,5.57,0,0,0,0
16,Roberto Luongo\luongro01,32,VAN,2,2,0,2,7,64,57,.891,3.59,0,,117,1,.500,1,,,0,0,0,0
17,Antti Niemi\niemian02,28,SJS,5,5,1,4,13,151,138,.914,2.45,0,,318,3,.600,0,109,-1.13,0,0,0,0
18,Jonathan Quick\quickjo01,26,LAK,20,20,16,4,29,538,509,.946,1.41,3,,1238,17,.850,0,69,13.31,0,0,0,0
19,Pekka Rinne\rinnepe01,29,NSH,10,10,5,5,21,296,275,.929,2.07,1,,609,6,.600,2,90,2.28,0,0,0,2
20,Cory Schneider\schneco01,25,VAN,3,3,1,2,4,101,97,.960,1.31,0,,183,3,1.000,0,50,3.94,0,0,0,0
21,Mike Smith\smithmi01,29,PHX,16,16,9,7,34,602,568,.944,1.99,3,,1027,14,.875,0,72,13.34,0,1,1,14
22,Jose Theodore\theodjo01,35,FLA,5,5,2,2,11,135,124,.919,2.46,1,,268,4,.800,1,104,-0.38,0,0,0,0
23,Tim Thomas\thomati01,37,BOS,7,7,3,4,16,207,191,.923,2.14,1,,448,4,.571,0,98,0.28,0,0,0,0
