Rk,Player,Age,Tm,GP,GS,W,L,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,Frederik Andersen\anderfr01,28,TOR,7,7,3,3,23,221,198,.896,3.76,0,,367,3,.429,2,118,-3.55,0,0,0,0
2,Jonathan Bernier\bernijo01,29,COL,4,4,1,3,14,120,106,.883,3.87,0,,217,0,.000,0,133,-3.44,0,0,0,0
3,Sergei Bobrovsky\bobrose01,29,CBJ,6,6,2,4,22,221,199,.900,3.18,0,,415,2,.333,1,113,-2.55,0,0,0,0
4,Aaron Dell\dellaa01,28,SJS,2,0,0,0,2,28,26,.929,2.57,0,,47,0,,0,,,0,0,0,0
5,Louis Domingue\dominlo01,25,TBL,1,0,0,0,0,7,7,1.000,0.00,0,,18,0,,0,,,0,0,0,0
6,Devan Dubnyk\dubnyde01,31,MIN,5,5,1,4,14,152,138,.908,3.39,0,,248,3,.600,1,105,-0.62,0,0,0,0
7,Brian Elliott\elliobr01,32,PHI,4,4,1,3,14,97,83,.856,4.74,0,,177,1,.250,3,164,-5.46,0,0,0,0
8,Marc-Andre Fleury\fleurma01,33,VEG,20,20,13,7,47,641,594,.927,2.24,4,,1259,12,.600,2,83,9.41,0,1,1,4
9,John Gibson\gibsojo02,24,ANA,4,4,0,4,13,117,104,.889,3.60,0,,217,2,.500,1,126,-2.70,0,0,0,0
10,Philipp Grubauer\grubaph01,26,WSH,2,2,0,1,8,49,41,.837,4.55,0,,105,0,.000,1,,,0,0,0,0
11,Andrew Hammond\hammoan01,29,COL,3,2,1,1,6,90,84,.933,2.62,0,,137,1,.500,0,,,0,0,0,0
12,Connor Hellebuyck\helleco01,24,WPG,17,17,9,8,40,511,471,.922,2.36,2,,1015,9,.529,1,89,4.97,0,0,0,2
13,Braden Holtby\holtbbr01,28,WSH,23,22,16,7,50,639,589,.922,2.16,2,,1386,14,.636,3,89,6.23,0,1,1,2
14,Martin Jones\jonesma02,28,SJS,10,10,6,4,22,304,282,.928,2.26,2,,585,6,.600,1,82,4.75,0,0,0,0
15,Anton Khudobin\khudoan01,31,BOS,1,0,0,0,0,8,8,1.000,0.00,0,,27,0,,0,,,0,0,0,0
16,Keith Kinkaid\kinkake01,28,NJD,2,2,0,2,9,46,37,.804,5.88,0,,92,0,.000,1,,,0,0,0,0
17,Steve Mason\masonst01,29,WPG,1,0,0,0,0,7,7,1.000,0.00,0,,20,0,,0,,,0,0,0,0
18,Curtis McElhinney\mcelhcu01,34,TOR,1,0,0,1,4,23,19,.826,5.07,0,,47,0,,0,,,0,0,0,0
19,Ryan Miller\millery01,37,ANA,1,0,0,0,3,12,9,.750,9.00,0,,20,0,,0,,,0,0,0,0
20,Petr Mrazek\mrazepe01,25,PHI,1,0,0,0,2,14,12,.857,3.87,0,,31,0,,0,,,0,0,0,0
21,Matt Murray\murrama02,23,PIT,12,12,6,6,29,314,285,.908,2.43,2,,716,6,.500,3,105,-1.37,0,0,0,0
22,Michal Neuvirth\neuvimi01,29,PHI,3,2,1,1,11,72,61,.847,4.40,0,,150,1,.500,1,,,0,0,0,0
23,Jonathan Quick\quickjo01,32,LAK,4,4,0,4,7,131,124,.947,1.55,0,,271,3,.750,0,61,4.53,0,0,0,0
24,Tuukka Rask\rasktu01,30,BOS,12,12,5,7,33,339,306,.903,2.88,0,,687,5,.417,2,111,-3.17,0,0,0,0
25,Pekka Rinne\rinnepe01,35,NSH,13,13,7,6,35,363,328,.904,3.07,2,,684,7,.538,4,110,-3.05,0,0,0,2
26,Juuse Saros\sarosju01,22,NSH,4,0,0,0,2,42,40,.952,1.06,0,,114,0,,0,,,0,0,0,0
27,Cory Schneider\schneco01,31,NJD,4,3,1,2,6,119,113,.950,1.78,0,,202,3,1.000,0,57,4.47,0,1,1,0
28,Alex Stalock\staloal01,30,MIN,1,0,0,0,1,16,15,.938,1.25,0,,48,0,,0,,,0,0,0,0
29,Andrei Vasilevskiy\vasilan02,23,TBL,17,17,11,6,43,524,481,.918,2.58,0,,999,12,.706,3,93,3.11,0,0,0,2
