Rk,Player,Age,Tm,GP,GS,W,L,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,Jake Allen\allenja01,28,STL,1,0,0,0,1,4,3,.750,2.45,0,,24,0,,0,,,0,0,0,0
2,Frederik Andersen\anderfr01,29,TOR,7,7,3,4,19,244,225,.922,2.75,0,,414,4,.571,1,93,1.40,0,0,0,0
3,Jordan Binnington\binnijo01,25,STL,26,26,16,10,64,742,678,.914,2.46,1,,1560,18,.692,4,103,-1.96,0,1,1,4
4,Ben Bishop\bishobe01,32,DAL,13,13,7,6,30,448,418,.933,2.22,0,,811,8,.615,1,80,7.46,0,0,0,2
5,Sergei Bobrovsky\bobrose01,30,CBJ,10,10,6,4,25,333,308,.925,2.41,0,,623,6,.600,0,90,2.84,0,0,0,0
6,Aaron Dell\dellaa01,29,SJS,2,0,0,1,5,36,31,.861,3.35,0,,90,0,,0,,,0,0,0,0
7,Marc-Andre Fleury\fleurma01,34,VEG,7,7,3,4,21,230,209,.909,2.70,1,,467,3,.429,0,109,-1.77,0,0,0,0
8,Thomas Greiss\greisth01,33,NYI,1,0,0,0,2,10,8,.800,3.29,0,,36,0,,0,,,0,0,0,0
9,Philipp Grubauer\grubaph01,27,COL,12,12,7,5,28,373,345,.925,2.30,1,,732,7,.583,1,90,3.19,0,1,1,0
10,Connor Hellebuyck\helleco01,25,WPG,6,6,2,4,16,184,168,.913,2.67,0,,360,3,.500,0,104,-0.62,0,0,0,0
11,Braden Holtby\holtbbr01,29,WSH,7,7,3,4,20,233,213,.914,2.67,1,,449,3,.429,0,103,-0.52,0,0,0,0
12,Martin Jones\jonesma02,29,SJS,20,20,10,9,58,567,509,.898,3.02,0,,1154,8,.400,5,122,-10.59,0,2,2,0
13,Anton Khudobin\khudoan01,32,DAL,1,0,0,0,0,5,5,1.000,0.00,0,,11,0,,0,,,0,0,0,0
14,Robin Lehner\lehnero01,27,NYI,8,8,4,4,15,233,218,.936,2.00,0,,449,7,.875,1,77,4.48,0,0,0,2
15,Curtis McElhinney\mcelhcu01,35,CAR,5,4,3,2,9,128,119,.930,2.01,0,,268,3,.750,0,84,1.70,0,0,0,0
16,Petr Mrazek\mrazepe01,26,CAR,11,11,5,5,30,282,252,.894,2.73,2,,660,6,.545,3,127,-6.42,0,0,0,0
17,Matt Murray\murrama02,24,PIT,4,4,0,4,12,127,115,.906,3.02,0,,239,3,.750,0,113,-1.38,0,0,0,0
18,Tuukka Rask\rasktu01,31,BOS,24,24,15,9,49,742,693,.934,2.02,2,,1459,19,.792,1,79,13.04,0,0,0,0
19,Pekka Rinne\rinnepe01,36,NSH,6,6,2,4,17,179,162,.905,3.09,0,,330,3,.500,2,114,-2.03,0,0,0,0
20,Juuse Saros\sarosju01,23,NSH,1,0,0,0,1,21,20,.952,1.32,0,,45,0,,0,,,0,0,0,2
21,Mike Smith\smithmi01,36,CGY,5,5,1,4,17,205,188,.917,3.20,1,,319,3,.600,1,99,0.14,0,1,1,4
22,Andrei Vasilevskiy\vasilan02,24,TBL,4,4,0,4,15,104,89,.856,3.82,0,,235,1,.250,3,173,-6.30,0,0,0,0
