Rk,Player,Age,Tm,GP,GS,W,L,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,Jake Allen\allenja01,25,STL,5,2,1,1,7,68,61,.897,2.48,0,,169,0,.000,1,,,0,0,0,0
2,Frederik Andersen\anderfr01,26,ANA,5,5,3,2,7,132,125,.947,1.41,1,,297,5,1.000,0,64,3.93,0,0,0,0
3,Jean-Francois Berube\berubje02,24,NYI,1,0,0,0,0,2,2,1.000,0.00,0,,5,0,,0,,,0,0,0,0
4,Ben Bishop\bishobe01,29,TBL,11,11,8,2,18,297,279,.939,1.85,2,,582,9,.818,1,73,6.59,0,0,0,0
5,Corey Crawford\crawfco01,31,CHI,7,7,3,4,19,205,186,.907,2.55,0,,448,4,.571,1,112,-2.03,0,0,0,2
6,Devan Dubnyk\dubnyde01,29,MIN,6,6,2,4,20,163,143,.877,3.34,0,,359,1,.167,2,148,-6.50,0,0,0,0
7,Brian Elliott\elliobr01,30,STL,18,18,9,9,43,546,503,.921,2.44,1,,1058,10,.556,3,95,2.21,0,0,0,2
8,Marc-Andre Fleury\fleurma01,31,PIT,2,1,0,1,4,32,28,.875,3.03,0,,79,0,.000,1,,,0,0,0,0
9,John Gibson\gibsojo02,22,ANA,2,2,0,2,6,60,54,.900,3.08,0,,117,0,.000,0,,,0,0,0,0
10,Thomas Greiss\greisth01,30,NYI,11,11,5,6,30,388,358,.923,2.46,0,,733,6,.545,1,93,2.13,0,0,0,0
11,Braden Holtby\holtbbr01,26,WSH,12,12,6,6,21,363,342,.942,1.72,2,,732,9,.750,0,70,9.06,0,1,1,0
12,Jimmy Howard\howarja02,31,DET,2,2,0,2,7,64,57,.891,3.59,0,,117,0,.000,0,,,0,0,0,0
13,Carter Hutton\huttoca01,30,NSH,3,0,0,0,1,3,2,.667,3.01,0,,20,0,,0,,,0,0,0,0
14,Martin Jones\jonesma02,26,SJS,24,24,14,10,53,684,631,.923,2.16,3,,1473,15,.625,2,94,3.63,0,0,0,0
15,Kari Lehtonen\lehtoka01,32,DAL,11,10,6,3,26,257,231,.899,2.81,1,,555,5,.500,3,122,-4.72,0,0,0,0
16,Henrik Lundqvist\lundqhe01,33,NYR,5,5,1,3,15,113,98,.867,4.39,0,,205,3,.600,2,160,-5.64,0,0,0,0
17,Roberto Luongo\luongro01,36,FLA,6,6,2,4,15,227,212,.934,2.05,0,,438,4,.667,1,80,3.80,0,0,0,0
18,Steve Mason\masonst01,27,PHI,3,3,0,3,12,81,69,.852,4.09,0,,176,1,.333,2,,,0,0,0,0
19,Petr Mrazek\mrazepe01,23,DET,3,3,1,2,4,73,69,.945,1.35,1,,177,2,.667,0,,,0,0,0,0
20,Matt Murray\murrama02,21,PIT,21,21,15,6,44,575,531,.923,2.08,1,,1267,14,.667,1,92,3.61,0,0,0,4
21,Michal Neuvirth\neuvimi01,27,PHI,3,3,2,1,2,105,103,.981,0.67,1,,178,3,1.000,0,23,6.69,0,0,0,0
22,Antti Niemi\niemian02,32,DAL,5,3,1,3,13,96,83,.865,3.29,0,,237,1,.333,2,164,-5.05,0,0,0,0
23,Jonathan Quick\quickjo01,30,LAK,5,5,1,4,15,132,117,.886,3.04,0,,296,1,.200,2,137,-4.07,0,0,0,0
24,Antti Raanta\raantan01,26,NYR,3,0,0,1,4,38,34,.895,2.56,0,,94,0,,0,,,0,0,0,0
25,James Reimer\reimeja01,27,SJS,1,0,0,0,1,7,6,.857,2.06,0,,29,0,,0,,,0,0,0,0
26,Pekka Rinne\rinnepe01,33,NSH,14,14,7,7,38,404,366,.906,2.63,0,,866,8,.571,3,114,-4.55,0,1,1,0
27,Andrei Vasilevskiy\vasilan02,21,TBL,8,6,3,4,20,267,247,.925,2.76,0,,434,4,.667,0,90,2.11,0,0,0,0
28,Jeff Zatkoff\zatkoje01,28,PIT,2,2,1,1,6,65,59,.908,3.07,0,,117,1,.500,0,,,0,0,0,0
