Rk,Player,Age,Tm,GP,GS,W,L,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
33,James Reimer\reimeja01,31,CAR,3,3,2,1,7,106,99,.934,2.36,0,,178,2,.667,0,,,0,0,0,0
34,David Rittich\rittida01,27,CGY,1,0,0,1,3,9,6,.667,10.85,0,,17,0,,0,,,0,0,0,0
35,Juuse Saros\sarosju01,24,NSH,4,4,1,3,13,124,111,.895,3.22,0,,242,1,.250,0,126,-2.66,0,0,0,0
36,Igor Shesterkin\shestig01,24,NYR,1,1,0,1,3,30,27,.900,3.10,0,,58,0,.000,0,,,0,0,0,0
37,Mike Smith\smithmi01,37,EDM,1,1,0,1,5,23,18,.783,11.31,0,,27,0,.000,1,,,0,0,0,0
38,Alex Stalock\staloal01,32,MIN,4,4,1,3,12,116,104,.897,3.03,1,,237,1,.250,1,124,-2.33,0,0,0,0
39,Cam Talbot\talboca01,32,CGY,10,10,5,4,24,316,292,.924,2.42,2,,596,7,.700,1,91,2.34,0,0,0,2
40,Semyon Varlamov\varlasi01,31,NYI,20,19,11,7,44,559,515,.921,2.14,2,,1233,13,.684,2,94,2.59,0,0,0,2
41,Andrei Vasilevskiy\vasilan02,25,TBL,25,25,18,7,54,740,686,.927,1.90,1,,1708,15,.600,1,88,7.68,0,1,1,2
42,Daniel Vladar\vladada01,22,BOS,1,0,0,0,3,15,12,.800,6.27,0,,29,0,,0,,,0,0,0,0
