Rk,Player,Age,Tm,GP,GS,W,L,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,Jake Allen\allenja01,29,STL,5,4,2,2,9,138,129,.935,1.89,0,,286,3,.750,0,78,2.50,0,0,0,2
2,Frederik Andersen\anderfr01,30,TOR,5,5,2,3,10,157,147,.936,1.84,1,,326,3,.600,0,76,3.09,0,0,0,0
3,Jordan Binnington\binnijo01,26,STL,5,5,0,5,21,141,120,.851,4.72,0,,267,1,.200,4,179,-9.25,0,0,0,0
4,Ben Bishop\bishobe01,33,DAL,3,3,1,2,12,77,65,.844,5.43,0,,133,0,.000,2,,,0,1,1,0
5,Sergei Bobrovsky\bobrose01,31,FLA,4,4,1,3,12,121,109,.901,3.07,0,,234,1,.250,0,119,-1.91,0,0,0,0
6,Corey Crawford\crawfco01,35,CHI,9,9,4,5,30,324,294,.907,3.31,0,,544,3,.333,1,111,-2.99,0,0,0,0
7,Thatcher Demko\demkoth01,24,VAN,4,3,2,1,2,130,128,.985,0.64,1,,186,3,1.000,0,18,8.84,0,0,0,0
8,Brian Elliott\elliobr01,34,PHI,3,2,1,1,5,56,51,.911,2.15,0,,140,1,.500,0,,,0,0,0,0
9,Marc-Andre Fleury\fleurma01,35,VEG,4,4,3,1,9,100,91,.910,2.27,0,,238,2,.500,1,,,0,0,0,2
10,Pavel Francouz\francpa01,29,COL,6,5,2,4,17,157,140,.892,3.23,1,,316,1,.200,2,130,-3.91,0,0,0,0
11,Thomas Greiss\greisth01,34,NYI,4,3,2,2,6,84,78,.929,2.02,1,,178,2,.667,1,,,0,0,0,0
12,Philipp Grubauer\grubaph01,28,COL,7,7,5,1,12,153,141,.922,1.87,1,,385,5,.714,2,94,0.75,0,0,0,0
13,Jaroslav Halak\halakja01,34,BOS,9,9,4,5,25,256,231,.902,2.76,0,,543,4,.444,2,117,-3.66,0,0,0,0
14,Carter Hart\hartca01,21,PHI,14,14,9,5,32,431,399,.926,2.23,2,,860,8,.571,1,89,3.93,0,0,0,2
15,Connor Hellebuyck\helleco01,26,WPG,4,4,1,3,12,125,113,.904,3.04,0,,237,2,.500,1,115,-1.58,0,0,0,0
16,Braden Holtby\holtbbr01,30,WSH,8,8,2,6,20,213,193,.906,2.49,0,,483,4,.500,0,113,-2.25,0,1,1,0
17,Michael Hutchinson\hutchmi01,29,COL,4,3,2,1,9,100,91,.910,2.75,0,,196,2,.667,0,,,0,0,0,0
18,Tristan Jarry\jarrytr01,24,PIT,1,1,0,1,1,21,20,.952,1.02,0,,59,1,1.000,0,,,0,0,0,0
19,Anton Khudobin\khudoan01,33,DAL,25,24,14,10,67,811,744,.917,2.69,1,,1493,12,.500,2,99,0.60,0,1,1,2
20,Joonas Korpisalo\korpijo01,25,CBJ,9,9,3,5,19,320,301,.941,1.90,2,,599,6,.667,2,71,7.67,0,0,0,0
21,Mikko Koskinen\koskimi01,31,EDM,4,3,1,2,11,99,88,.889,3.16,0,,209,0,.000,1,,,0,0,0,0
22,Darcy Kuemper\kuempda01,29,ARI,9,9,4,5,29,334,305,.913,3.47,0,,502,5,.556,2,104,-1.16,0,0,0,0
23,Robin Lehner\lehnero01,28,VEG,16,16,9,7,32,386,354,.917,1.99,4,,966,8,.500,1,99,0.17,0,0,0,0
24,Henrik Lundqvist\lundqhe01,37,NYR,2,2,0,2,7,71,64,.901,3.52,0,,119,1,.500,0,,,0,0,0,0
25,Jacob Markstrom\marksja02,30,VAN,14,14,8,6,40,491,451,.919,2.85,1,,841,11,.786,1,98,0.93,0,0,0,0
26,Elvis Merzlikins\merzlel01,25,CBJ,2,1,1,1,4,74,70,.946,1.96,0,,123,1,1.000,0,,,0,1,1,0
27,Petr Mrazek\mrazepe01,27,CAR,5,5,2,3,11,155,144,.929,2.08,0,,317,4,.800,0,85,1.92,0,0,0,0
28,Matt Murray\murrama02,25,PIT,3,3,1,2,8,93,85,.914,2.50,0,,192,2,.667,0,,,0,0,0,0
29,Jake Oettinger\oettija01,21,DAL,2,0,0,0,0,8,8,1.000,0.00,0,,37,0,,0,,,0,0,0,0
30,Carey Price\priceca01,32,MTL,10,10,5,5,18,282,264,.936,1.78,2,,606,6,.600,1,77,5.51,0,0,0,0
31,Antti Raanta\raantan01,30,ARI,2,0,0,0,4,14,10,.714,6.00,0,,40,0,,0,,,0,0,0,0
32,Tuukka Rask\rasktu01,32,BOS,4,4,1,3,11,114,103,.904,2.57,0,,257,2,.500,0,116,-1.50,0,0,0,0
