Rk,Player,Age,Tm,GP,GS,W,L,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,Sergei Bobrovsky\bobrose01,22,PHI,6,3,0,2,10,81,71,.877,3.23,0,,186,1,.333,1,,,0,0,0,0
2,Brian Boucher\bouchbr01,34,PHI,9,7,4,4,22,229,207,.904,3.13,0,,422,4,.571,3,114,-2.66,0,0,0,2
3,Ilya Bryzgalov\bryzgil01,30,PHX,4,4,0,4,17,140,123,.879,4.36,0,,234,0,.000,0,144,-5.17,0,0,0,0
4,Corey Crawford\crawfco01,26,CHI,7,7,3,4,16,218,202,.927,2.21,1,,435,5,.714,0,87,2.41,0,2,2,0
5,Dan Ellis\ellisda01,30,ANA,1,1,0,1,4,24,20,.833,5.86,0,,41,0,.000,1,,,0,0,0,0
6,Ray Emery\emeryra01,28,ANA,6,5,2,3,17,165,148,.897,3.19,0,,319,0,.000,0,122,-3.06,0,0,0,0
7,Jhonas Enroth\enrotjh01,22,BUF,1,0,0,0,1,8,7,.875,3.49,0,,17,0,,0,,,0,0,0,0
8,Marc-Andre Fleury\fleurma01,26,PIT,7,7,3,4,17,168,151,.899,2.52,1,,405,4,.571,3,120,-2.81,0,0,0,0
9,Jimmy Howard\howarja02,26,DET,11,11,7,4,28,364,336,.923,2.49,0,,673,6,.545,0,91,2.75,0,0,0,2
10,Brent Johnson\johnsbr02,33,PIT,1,0,0,0,4,11,7,.636,6.96,0,,34,0,,0,,,0,0,0,2
11,Michael Leighton\leighmi01,29,PHI,2,1,0,1,4,29,25,.862,3.44,0,,70,0,.000,1,,,0,0,0,0
12,Anders Lindback\lindban01,22,NSH,1,0,0,0,0,9,9,1.000,0.00,0,,13,0,,0,,,0,0,0,0
13,Henrik Lundqvist\lundqhe01,28,NYR,5,5,1,4,13,156,143,.917,2.26,0,,346,4,.800,0,99,0.18,0,0,0,0
14,Roberto Luongo\luongro01,31,VAN,25,24,15,10,61,711,650,.914,2.56,4,,1427,13,.542,6,102,-0.94,0,0,0,0
15,Ryan Miller\millery01,30,BUF,7,7,3,4,20,242,222,.917,2.93,2,,410,3,.429,0,98,0.44,0,1,1,2
16,Michal Neuvirth\neuvimi01,22,WSH,9,9,4,5,23,261,238,.912,2.34,1,,590,5,.556,0,104,-0.95,0,0,0,0
17,Antti Niemi\niemian02,27,SJS,18,18,8,9,56,538,482,.896,3.22,0,,1044,8,.444,6,123,-10.56,0,0,0,0
18,Antero Niittymaki\niittan01,30,SJS,2,0,1,0,1,30,29,.967,0.66,0,,91,0,,0,,,0,0,0,0
19,Carey Price\priceca01,23,MTL,7,7,3,4,16,242,226,.934,2.11,1,,455,4,.571,0,78,4.44,0,0,0,0
20,Jonathan Quick\quickjo01,25,LAK,6,6,2,4,20,229,209,.913,3.16,1,,380,3,.500,2,103,-0.66,0,0,0,0
21,Pekka Rinne\rinnepe01,28,NSH,12,12,6,6,32,343,311,.907,2.57,0,,748,6,.500,2,110,-3.03,0,1,1,0
22,Dwayne Roloson\rolosdw01,41,TBL,17,17,10,6,41,541,500,.924,2.51,1,,982,12,.706,3,90,4.70,0,0,0,0
23,Cory Schneider\schneco01,24,VAN,5,1,0,0,7,82,75,.915,2.58,0,,163,0,.000,0,,,0,0,0,0
24,Mike Smith\smithmi01,28,TBL,3,1,1,1,2,48,46,.958,1.00,0,,120,1,1.000,0,,,0,0,0,0
25,Tim Thomas\thomati01,36,BOS,25,25,16,9,51,849,798,.940,1.98,4,,1542,17,.680,1,71,20.72,0,0,0,4
